year,date,team,opponent,win,srs,outcome,PTS,REB,AST,STL,BLK,TOV,TS%,3P%,,,N,O,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,
2023,2023-04-01,Florida Atlantic,San Diego State,0.099,-1.89,L,4.2,4.2,2.8,1.1,0.7,0.2,0.013,0.029,2023,Miami (FL),2.50,Team,37,40.1,28.6,59.6,0.48,21.1,39.2,0.538,7.5,20.4,0.368,14.4,18.3,0.784,10.4,24.4,34.7,14.5,7.3,3.1,11.1,14.2,79.1,Opponent,37,40.1,26.8,59.8,0.448,19.1,36.8,0.518,7.7,23,0.335,10.6,14.4,0.741,9.8,22.3,32.1,14.6,5.9,3.4,12.5,15.3,71.9,0.585,0.544
2023,2023-03-16,Furman,Virginia,0.013,-8.39,W,11.9,6.9,8.0,6.3,5.1,-1.7,0.032,-0.009,2023,Michigan State,2.64,Team,34,40.6,25.9,57.2,0.452,18.4,38.3,0.482,7.4,18.9,0.393,11.8,15.5,0.759,9,26.6,35.7,14.6,4.7,3,10.9,16.4,70.9,Opponent,34,40.6,24.5,57.9,0.424,17.3,35.6,0.486,7.2,22.3,0.324,11.6,16.2,0.72,9,23.7,32.6,13.1,5.7,3.4,9.8,16.4,67.9,0.554,0.522
2023,2023-03-18,Furman,San Diego State,-0.018,-10.92,L,8.7,5.3,6.9,4.1,4.0,0.2,0.042,0.021,2023,Missouri,3.20,Team,35,40.3,28.2,59.8,0.472,18.9,33.9,0.558,9.3,25.8,0.36,13.2,17.4,0.758,8.9,21.4,30.2,15.9,10.2,2.7,11.1,18,78.9,Opponent,35,40.3,25.5,57.1,0.446,16.6,31.8,0.522,8.8,25.3,0.35,14.7,19.5,0.751,12.7,24.8,37.4,14.6,6.2,2.3,16.9,16.3,74.4,0.585,0.566
2023,2023-03-17,Gonzaga,Grand Canyon,0.163,14.56,W,8.5,4.9,6.0,3.9,3.4,-0.6,0.035,0.014,2023,Montana State,2.43,Team,35,40.3,25.1,53.6,0.469,18.9,35.3,0.537,6.2,18.3,0.336,17.5,23.3,0.754,8.3,24.7,33,12.5,6.5,3,11.9,18.3,73.9,Opponent,35,40.3,23.3,53.9,0.432,16.9,35.2,0.482,6.3,18.7,0.339,14,18.7,0.749,7.8,22.9,30.7,9.2,5.6,2,13.7,20.5,66.9,0.579,0.538
2023,2023-03-19,Gonzaga,Texas Christian,0.212,3.38,W,7.9,3.7,3.8,3.0,2.0,1.7,0.047,0.055,2023,North Carolina Asheville,2.93,Team,35,40.6,25.6,54,0.475,17.8,33.8,0.527,7.8,20.2,0.388,15.3,22.1,0.694,8.4,26.4,34.8,12.7,6.3,4,14.2,15.5,74.4,Opponent,35,40.6,25.7,60.7,0.424,19.5,39.8,0.491,6.2,20.9,0.297,11.4,15.9,0.719,10.5,23.6,34.2,11.9,7.1,3.6,12.7,20,69.1,0.584,0.510
2023,2023-03-23,Gonzaga,UCLA,-0.004,-3.12,W,12.4,8.8,8.9,7.7,6.7,0.9,0.051,0.034,2023,North Carolina State,2.80,Team,34,40.1,28.9,64.1,0.45,20.6,40.3,0.511,8.3,23.8,0.347,11.7,16.2,0.722,11.3,25.3,36.6,12.8,7.8,4.5,9.4,17.4,77.7,Opponent,34,40.1,25.3,56.8,0.445,19.2,37.7,0.51,6,19.1,0.316,14.3,19.3,0.738,8.9,25.9,34.9,11.6,5.1,2.8,13.2,15.7,70.8,0.545,0.542
2023,2023-03-25,Gonzaga,Connecticut,0.091,-3.96,L,8.4,8.2,8.2,5.0,5.0,0.8,0.036,0.034,2023,Northern Kentucky,2.33,Team,35,40.7,24.3,57.1,0.426,16.2,33.4,0.485,8.1,23.6,0.342,11.1,15.9,0.696,11.3,21.2,32.5,13.4,9.4,2.5,11.3,15.3,67.8,Opponent,35,40.7,22.7,51.7,0.439,15.4,31.5,0.487,7.3,20.1,0.362,10.9,15.5,0.705,10,23.7,33.7,13.8,5.7,2.4,15.7,15.8,63.5,0.529,0.543
2023,2023-03-17,Grand Canyon,Gonzaga,-0.163,-14.56,L,-8.5,-0.5,-3.0,-3.2,-2.7,0.6,-0.035,-0.014,2023,Northwestern,2.75,Team,34,40.3,23.6,57.9,0.407,15.9,34.1,0.467,7.6,23.7,0.321,13,17.2,0.757,10.3,24.2,34.5,12.8,7.9,3.9,9.6,16.1,67.7,Opponent,34,40.3,21.9,53,0.414,14.4,30.8,0.468,7.5,22.2,0.338,11.4,16.8,0.682,9.3,25.8,35.1,13.4,4.5,3.3,13.9,16.5,62.8,0.517,0.520
2023,2023-03-16,Houston,Northern Kentucky,0.265,23.03,W,0.5,-0.4,-2.6,-1.9,-1.8,1.7,-0.019,-0.043,2023,Oral Roberts,3.15,Team,35,40,30.2,63.7,0.474,19.5,34.4,0.567,10.7,29.3,0.365,12.1,15.7,0.774,8.9,27.9,36.8,14.7,6.8,5.4,9.4,12.9,83.3,Opponent,35,40,26.2,63.1,0.416,17.6,38.3,0.461,8.6,24.8,0.347,9.2,12.8,0.717,10.5,26.3,36.8,11.9,5.2,2.7,12.7,15,70.2,0.590,0.511
2023,2023-03-18,Houston,Auburn,0.287,7.85,W,-4.1,-3.5,-3.4,-4.7,-4.4,0.8,-0.005,0.008,2023,Penn State,2.88,Team,37,40.7,26.4,57.1,0.463,16,30.2,0.531,10.4,26.9,0.387,9,12.1,0.739,6.1,26.4,32.6,13.7,4.4,2.1,9,15.5,72.2,Opponent,37,40.7,25.2,58.7,0.43,18,36.6,0.492,7.2,22.1,0.327,10.6,15,0.706,9.1,25.9,34.9,13.9,4.7,2.8,8.6,13.5,68.2,0.578,0.522
